Lambda,Overflow (%),Events Generated,Events Processed,Events Offloaded
0.001,0.0,8,8,0
0.05,0.0,488,488,0
0.1,0.0,927,927,0
0.15,0.0,1409,1409,0
0.2,0.1669449081803005,1797,1794,3
0.25,0.7823285780027611,2173,2156,17
0.3,1.143984220907298,2535,2506,29
0.35,1.7508417508417509,2970,2918,52
0.4,2.897675822517356,3313,3217,96
0.45,4.383337870950177,3673,3512,161
0.5,6.299615877080667,3905,3659,246
0.55,7.560056523787094,4246,3925,321
0.6,8.42911877394636,4437,4063,374
0.65,12.190669371196755,4930,4329,601
0.7,12.09468868112194,5027,4419,608
0.75,14.757172323270204,5333,4546,787
0.8,16.82276657060519,5552,4618,934
0.85,17.35038181495294,5631,4654,977
0.9,19.87525286581254,5932,4753,1179
0.95,21.22266401590457,6036,4755,1281
1.0,23.456790123456788,6318,4836,1482
